INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
22-070095,1304,S4,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM - GUN,12/11/2022 07:38:23 PM,Sunday,Handgun,700 BLOCK DELAWARE ST SE,December
22-070100,1313,C3,Central,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 08:07:47 PM,Sunday,Personal Weapons,0 BLOCK WILLIAMS ST SW,December
22-070102,1313,N8,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 08:14:04 PM,Sunday,Personal Weapons,1000 BLOCK MICHIGAN ST NE,December
22-070106,1313,N4,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 09:04:42 PM,Sunday,None,0 BLOCK COLDBROOK ST NE,December
22-070116,1305,N4,North,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM OTHER WEAPON,12/11/2022 10:42:48 PM,Sunday,Other,1000 BLOCK LEONARD ST NE,December
22-070118,1313,E7,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 10:55:43 PM,Sunday,Personal Weapons,500 BLOCK BURTON ST SW,December
22-070120,1313,E8,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 10:59:09 PM,Sunday,Personal Weapons,1900 BLOCK JEROME AV SW,December
22-070121,1313,W3,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 11:13:22 PM,Sunday,Personal Weapons,700 BLOCK ALPINE AV NW,December
22-070126,1313,E7,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 11:48:11 PM,Sunday,Other,700 BLOCK COATE CT SW,December
22-070143,1313,S3,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/12/2022 02:30:00 AM,Monday,None,700 BLOCK CASS AV SE,December
22-070156,1171,N3,North,11001,Sexual Penetration Penis/Vagina CSC 1st,Rape,Crimes Against Person,Sex Offenses,CSC 1ST - SEXUAL PENETRATION PENIS/VAGINA,12/12/2022 06:00:00 AM,Monday,None,1100 BLOCK CRESTON PZ NE,December
22-070185,1313,S3,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/12/2022 08:00:00 AM,Monday,Unknown,100 BLOCK HALL ST SE,December
22-070216,1313,C2,Central,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/11/2022 12:00:00 PM,Sunday,Personal Weapons,100 BLOCK MICHIGAN ST NE,December
22-070223,1305,E4,East,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM OTHER WEAPON,12/12/2022 12:23:53 PM,Monday,Blunt Object,3000 BLOCK WOODCLIFF LN SE,December
22-070241,1382,E8,East,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,STALKING (MISDEMEANOR),12/11/2022 04:00:00 PM,Sunday,None,2100 BLOCK BUCHANAN AV SW,December
22-070245,1376,S2,South,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"Intentional Threat To Commit Act of: Violence Against School, School Employee or Students",12/12/2022 02:10:40 PM,Monday,None,700 BLOCK BENJAMIN AV SE,December
22-070268,1178,E8,East,11008,Sexual Contact Forcible CSC 4th,Fondling,Crimes Against Person,Sex Offenses,CSC 4TH DEGREE - FORCIBLE CONTACT,12/02/2022 06:00:00 PM,Friday,Personal Weapons,2100 BLOCK PALACE AV SW,December
22-070279,1313,N1,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/12/2022 06:02:59 PM,Monday,Personal Weapons,2400 BLOCK KNAPP ST NE,December
22-070283,1377,C2,Central,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"Intentional Threat To Commit Act of: Violence Against School, School Employee or Students With Specific Intent to Carry Out or Overt Act Toward",12/12/2022 06:23:12 PM,Monday,None,300 BLOCK PEARL ST NW,December
22-070286,1380,W4,West,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,"TELEPHONE USED TO HARASS, THREAT",12/08/2022 12:25:00 PM,Thursday,None,800 BLOCK BROADWAY AV NW,December
22-070289,1304,S8,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM - GUN,12/12/2022 06:58:39 PM,Monday,Firearm (type unknown),NORWICH AV SW & OXFORD ST SW,December
22-070299,1306,C3,Central,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM STRONG ARM,12/12/2022 07:28:39 PM,Monday,Personal Weapons,300 BLOCK CESAR E CHAVEZ AV SW,December
22-070302,1313,S6,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/12/2022 07:38:59 PM,Monday,Personal Weapons,1800 BLOCK KALAMAZOO AV SE,December
22-070314,1313,N7,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/12/2022 08:08:07 PM,Monday,Personal Weapons,400 BLOCK CHERRY ST SE,December
22-070316,1313,W3,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/12/2022 08:30:00 PM,Monday,Personal Weapons,800 BLOCK TAMARACK AV NW,December
