INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
21-000002,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 12:06:02 AM,Friday,Firearm (type unknown),800 BLOCK CASS AV SE,January
21-000006,5213,E1,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 12:27:35 AM,Friday,Handgun,200 BLOCK DICKINSON ST SE,January
21-000013,5213,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 12:59:17 AM,Friday,Firearm (type unknown),PLAINFIELD AV NE & CALEDONIA ST NE,January
21-000015,5213,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 01:03:45 AM,Friday,Firearm (type unknown),400 BLOCK QUIMBY ST NE,January
21-000039,5213,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 03:04:00 AM,Friday,Firearm (type unknown),CURTIS ST NE & EASTERN PL NE,January
21-000044,5213,N4,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 03:21:29 AM,Friday,Firearm (type unknown),FLAT ST NE & EMERALD AV NE,January
21-000060,5213,E4,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 04:57:00 AM,Friday,Handgun,3600 BLOCK BURTON RIDGE RD SE,January
21-000100,5213,S8,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 12:20:00 AM,Friday,Firearm (type unknown),800 BLOCK NORWICH AV SW,January
21-000124,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 01:05:00 PM,Friday,Firearm (type unknown),700 BLOCK MADISON AV SE,January
21-000157,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 01:00:00 AM,Friday,Firearm (type unknown),800 BLOCK LAFAYETTE AV SE,January
21-000168,3530,N2,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Sell,01/01/2021 05:00:00 PM,Friday,None,400 BLOCK BRENNER ST NE,January
21-000168,5299,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/01/2021 05:00:00 PM,Friday,Handgun,400 BLOCK BRENNER ST NE,January
21-000168,3510,N2,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Heroin - Sell/Manufacture,01/01/2021 05:00:00 PM,Friday,None,400 BLOCK BRENNER ST NE,January
21-000168,5299,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/01/2021 05:00:00 PM,Friday,None,400 BLOCK BRENNER ST NE,January
21-000173,5299,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/01/2021 05:54:00 PM,Friday,None,400 BLOCK BRENNER ST NE,January
21-000180,5213,S7,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 07:06:46 PM,Friday,Firearm (type unknown),100 BLOCK FRANKLIN ST SW,January
21-000212,3512,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Heroin - Possess,01/01/2021 07:50:00 PM,Friday,None,400 BLOCK LEONARD ST NW,January
21-000224,3532,S4,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/01/2021 11:16:20 PM,Friday,None,OAKHILL ST SE & EASTERN AV SE,January
21-000322,3547,C3,Central,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,01/02/2021 01:41:00 PM,Saturday,None,200 BLOCK JEFFERSON AV SE,January
21-000332,5213,N8,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 03:00:00 PM,Friday,Unknown,100 BLOCK MACK AV NE,January
21-000357,3542,W3,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Synthetic Narcotic - Possess,01/02/2021 03:50:00 PM,Saturday,None,STOCKING AV NW & 5TH ST NW,January
21-000460,3532,E1,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/03/2021 01:05:43 AM,Sunday,None,1600 BLOCK HORTON AV SE,January
21-000465,5213,E4,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/03/2021 01:32:04 AM,Sunday,Handgun,3700 BLOCK CAMELOT DR SE,January
21-000493,5289,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),01/03/2021 07:00:00 AM,Sunday,Other,600 BLOCK PLEASANT ST SE,January
21-000619,5295,E8,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/03/2021 10:53:00 PM,Sunday,Handgun,2200 BLOCK DARWIN AV SW,January
21-000619,5299,E8,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/03/2021 10:53:00 PM,Sunday,None,2200 BLOCK DARWIN AV SW,January
21-000621,5299,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/03/2021 11:10:00 PM,Sunday,Handgun,500 BLOCK EASTERN AV SE,January
21-000621,5297,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,POSS. OR USE FIREARM WHILE UNDER LIQ/DRUGS (WEAPON),01/03/2021 11:10:00 PM,Sunday,Handgun,500 BLOCK EASTERN AV SE,January
21-000654,5213,E8,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/04/2021 07:07:57 AM,Monday,Unknown,200 BLOCK CORINNE ST SW,January
21-000793,5202,W4,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),01/04/2021 08:13:00 PM,Monday,Handgun,BROADWAY AV NW & 11TH ST NW,January
21-000811,5295,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/04/2021 10:01:19 PM,Monday,Handgun,EASTERN AV SE & HUMBOLT ST SE,January
21-000811,5299,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/04/2021 10:01:19 PM,Monday,Handgun,EASTERN AV SE & HUMBOLT ST SE,January
21-000821,5213,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/04/2021 11:04:58 PM,Monday,Firearm (type unknown),QUIMBY ST NE & COIT AV NE,January
21-000826,5213,S6,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/04/2021 11:41:04 PM,Monday,Firearm (type unknown),900 BLOCK CALVIN AV SE,January
21-000906,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/05/2021 10:53:25 AM,Tuesday,Firearm (type unknown),0 BLOCK FAIR ST SE,January
21-000923,5299,C2,Central,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/05/2021 01:30:00 PM,Tuesday,Other Firearm,0 BLOCK MONROE CENTER ST NW,January
21-001001,5213,S8,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/05/2021 07:21:56 PM,Tuesday,Firearm (type unknown),900 BLOCK CAULFIELD AV SW,January
21-001025,5295,E8,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/05/2021 09:10:30 PM,Tuesday,Handgun,STEWART ST SW & DIVISION AV,January
21-001157,5213,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/06/2021 01:58:23 PM,Wednesday,Firearm (type unknown),500 BLOCK HIGHLAND ST SE,January
21-001166,5202,X,Other Jurisdiction,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),01/06/2021 02:40:00 PM,Wednesday,Handgun,4000 BLOCK ALPINE AV NW,January
21-001260,3532,N2,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/06/2021 09:05:56 PM,Wednesday,None,CARRIER ST NE & LAFAYETTE AV NE,January
21-001309,3532,C3,Central,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/07/2021 04:08:28 AM,Thursday,None,131 XW  & MARKET AV SW,January
21-001466,3530,S8,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Sell,01/07/2021 08:28:03 PM,Thursday,None,800 BLOCK KENSINGTON AV SW,January
21-001485,5213,E7,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/07/2021 10:43:32 PM,Thursday,Firearm (type unknown),VANRAALTE DR SW & GRANDVILLE AV SW,January
21-001499,5299,S6,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/08/2021 12:08:52 AM,Friday,Other,1400 BLOCK ORVILLE ST SE,January
21-001499,5289,S6,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),01/08/2021 12:08:52 AM,Friday,Other,1400 BLOCK ORVILLE ST SE,January
21-001502,5213,E8,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/08/2021 12:42:06 AM,Friday,Firearm (type unknown),1800 BLOCK TOWNER AV SW,January
21-001622,5299,W4,West,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/08/2021 04:40:00 PM,Friday,Handgun,11TH ST NW & SEWARD AV NW,January
21-001661,5299,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/08/2021 05:30:00 PM,Friday,Handgun,TAYLOR AV  & SWEET ST NE,January
21-001661,3599,N2,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Dangerous Drugs (Or Maintain Drug House),01/08/2021 05:30:00 PM,Friday,None,TAYLOR AV  & SWEET ST NE,January
21-001764,3557,S7,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Ecstasy - Possess,01/09/2021 03:37:00 AM,Saturday,None,HALL ST SW & BUCHANAN AV SW,January
21-001764,3532,S7,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/09/2021 03:37:00 AM,Saturday,None,HALL ST SW & BUCHANAN AV SW,January
21-001777,3532,E1,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/09/2021 07:45:00 AM,Saturday,None,EASTERN AV SE & BURTON ST SE,January
21-001814,5213,E4,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/09/2021 12:36:45 PM,Saturday,Firearm (type unknown),2800 BLOCK WOODMEADOW PL SE,January
21-001853,5213,S6,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/09/2021 04:20:28 PM,Saturday,Rifle,1100 BLOCK OAKDALE ST SE,January
21-001899,3530,E8,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Sell,01/09/2021 07:56:32 PM,Saturday,None,0 BLOCK CUTLER ST SW,January
21-001923,3547,E1,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,01/09/2021 09:13:21 PM,Saturday,None,EASTERN AV SE & REYNARD ST SE,January
21-001952,5299,C2,Central,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/09/2021 10:45:00 PM,Saturday,Firearm (type unknown),100 BLOCK FRONT AV NW,January
21-001962,5299,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/10/2021 12:14:39 AM,Sunday,Handgun,1100 BLOCK PROSPECT AV SE,January
21-002135,3532,S5,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/10/2021 07:55:00 PM,Sunday,None,800 BLOCK FRANKLIN ST SE,January
21-002167,5295,N8,North,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/11/2021 12:00:00 AM,Monday,Handgun,FULTON ST  & DIAMOND AV NE,January
21-001960,5213,S6,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/10/2021 12:03:14 AM,Sunday,Handgun,ALTO AV SE & FISK ST SE,January
21-002181,3560,E1,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Marijuana - Sell,01/11/2021 01:24:00 AM,Monday,None,ALGER ST SE & MADISON AV SE,January
21-002181,3571,E1,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Amphetamine - Sell,01/11/2021 01:24:00 AM,Monday,None,ALGER ST SE & MADISON AV SE,January
21-002208,5299,W4,West,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/11/2021 07:20:00 AM,Monday,Rifle,1200 BLOCK QUARRY AV NW,January
21-002209,5213,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/11/2021 07:19:53 AM,Monday,Handgun,700 BLOCK PRINCE ST SE,January
21-001564,4004,E8,East,40001,"Commercialized Sex, Prostitution",Prostitution,Crimes Against Society,Prostitution Offenses,PROSTITUTION,01/08/2021 11:02:41 AM,Friday,None,DIVISION AV  & ROSE ST SW,January
21-002490,5299,X,Other Jurisdiction,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/12/2021 01:00:00 PM,Tuesday,Handgun,5300 BLOCK 28TH ST SE,January
21-002556,5213,E5,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/12/2021 09:34:38 PM,Tuesday,Handgun,900 BLOCK PASTICHE DR SE,January
21-002610,3542,E1,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Synthetic Narcotic - Possess,01/13/2021 02:25:00 AM,Wednesday,None,BURTON ST SE & LAFAYETTE AV SE,January
21-002617,5202,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),01/13/2021 03:55:38 AM,Wednesday,Handgun,EASTERN AV SE & FRANKLIN ST SE,January
21-002621,3512,E1,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Heroin - Possess,01/13/2021 04:50:00 AM,Wednesday,None,BURTON ST SE & LAFAYETTE AV SE,January
21-002720,5299,N4,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/13/2021 09:45:00 AM,Wednesday,Handgun,1000 BLOCK DIAMOND AV NE,January
21-002741,5295,S3,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/13/2021 03:00:00 PM,Wednesday,Handgun,FRANKLIN ST SE & LAFAYETTE AV SE,January
21-002784,5213,E5,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/12/2021 10:00:00 PM,Tuesday,Firearm (type unknown),EASTERN AV SE & PASTICHE DR SE,January
21-002835,3532,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/13/2021 10:55:00 PM,Wednesday,None,900 BLOCK FRONT AV NW,January
21-001466,5299,S8,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/07/2021 08:28:03 PM,Thursday,Handgun,800 BLOCK KENSINGTON AV SW,January
21-002952,5299,W4,West,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/14/2021 01:30:00 PM,Thursday,Other,FRONT AV NW & 6TH ST NW,January
21-002965,3599,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Dangerous Drugs (Or Maintain Drug House),01/14/2021 01:31:39 PM,Thursday,None,FRONT AV NW & 6TH ST NW,January
21-002965,3560,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Marijuana - Sell,01/14/2021 01:31:39 PM,Thursday,None,FRONT AV NW & 6TH ST NW,January
21-003020,5295,S3,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/14/2021 06:33:00 PM,Thursday,Handgun,1200 BLOCK DIVISION AV,January
21-003022,3590,S3,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Sell,01/14/2021 07:00:00 PM,Thursday,None,1200 BLOCK DIVISION AV,January
21-003022,5299,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/14/2021 07:00:00 PM,Thursday,Handgun,1200 BLOCK DIVISION AV,January
21-003024,5289,E8,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),01/14/2021 06:30:00 PM,Thursday,Other,200 BLOCK STEWART ST SW,January
21-003025,5202,E8,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),01/14/2021 06:30:00 PM,Thursday,Handgun,200 BLOCK STEWART ST SW,January
21-003029,5202,E8,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),01/14/2021 06:30:00 PM,Thursday,Handgun,200 BLOCK STEWART ST SW,January
21-003038,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/14/2021 07:05:00 PM,Thursday,Handgun,1200 BLOCK CASS AV SE,January
21-003064,3542,N3,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Synthetic Narcotic - Possess,01/14/2021 10:04:00 PM,Thursday,None,600 BLOCK COIT AV NE,January
21-003103,5289,W4,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),01/15/2021 12:00:00 AM,Friday,Blunt Object,ALPINE AV NW & 9TH ST NW,January
21-003162,5299,E4,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/15/2021 12:38:39 PM,Friday,Handgun,2700 BLOCK 28TH ST SE,January
21-003206,5213,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/15/2021 04:28:00 PM,Friday,Firearm (type unknown),500 BLOCK WORDEN ST SE,January
21-003235,5213,S6,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/15/2021 07:15:12 PM,Friday,Handgun,PHILADELPHIA AV SE & BOSTON ST SE,January
21-003255,5202,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),01/15/2021 08:59:07 PM,Friday,Handgun,COLLEGE AV SE & OAKDALE ST SE,January
21-003840,5299,E5,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/18/2021 08:10:55 PM,Monday,Handgun,3000 BLOCK KALAMAZOO AV SE,January
21-003845,5295,S5,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/18/2021 08:45:00 PM,Monday,Handgun,800 BLOCK FRANKLIN ST SE,January
21-003915,5295,C1,Central,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/19/2021 07:37:23 AM,Tuesday,Handgun,MONROE AV NW & MICHIGAN ST NW,January
21-004048,5299,C2,Central,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/19/2021 10:23:58 PM,Tuesday,Rifle,0 BLOCK MONROE CN NW,January
21-004326,5295,S8,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/21/2021 01:00:00 PM,Thursday,Handgun,900 BLOCK GRANDVILLE AV SW,January
21-004340,3707,C3,Central,37000,Obscenity,Pornography/Obscene Material,Crimes Against Society,Pornography/Obscene Material,OBSCENE COMMUNICATION,01/14/2021 12:00:00 AM,Thursday,None,200 BLOCK COMMERCE AV SW,January
21-004365,3542,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Synthetic Narcotic - Possess,01/21/2021 04:05:00 PM,Thursday,None,1300 BLOCK DAVIS AV NW,January
21-004365,3546,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Deliver,01/21/2021 04:05:00 PM,Thursday,None,1300 BLOCK DAVIS AV NW,January
21-004393,5295,E7,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/21/2021 07:42:55 PM,Thursday,Handgun,1500 BLOCK GRANDVILLE AV SW,January
21-004393,5213,E7,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/21/2021 07:42:55 PM,Thursday,Handgun,1500 BLOCK GRANDVILLE AV SW,January
21-004417,5295,S1,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/21/2021 10:44:21 PM,Thursday,Rifle,800 BLOCK BALDWIN ST SE,January
21-004360,3546,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Deliver,01/21/2021 04:05:00 PM,Thursday,None,DAVIS AV NW & MYRTLE ST NW,January
21-004468,3562,W2,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Marijuana - Possess,01/22/2021 08:52:02 AM,Friday,None,1500 BLOCK MT MERCY DR NW,January
21-004490,3562,W2,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Marijuana - Possess,01/22/2021 11:19:23 AM,Friday,None,1800 BLOCK TREMONT BL NW,January
21-004558,5295,S5,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/22/2021 06:18:46 PM,Friday,Handgun,DOLBEE AV SE & FRANKLIN ST SE,January
