INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
21-061424,5202,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),10/07/2021 10:25:34 PM,Thursday,Handgun,FRANKLIN ST SE & EASTERN AV SE,October
21-061451,3592,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Possess,10/08/2021 12:17:00 AM,Friday,None,1100 BLOCK BROADWAY AV NW,October
21-061517,3532,W3,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/08/2021 11:24:02 AM,Friday,None,500 BLOCK STOCKING AV NW,October
21-061543,3532,W3,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,10/08/2021 11:25:00 AM,Friday,None,500 BLOCK STOCKING AV NW,October
21-061547,3560,S7,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Marijuana - Sell,10/08/2021 01:47:04 PM,Friday,None,100 BLOCK HALL ST SW,October
21-061769,5213,E1,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/09/2021 01:07:00 AM,Saturday,Handgun,1800 BLOCK DIVISION AV,October
21-061793,5202,E8,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),10/09/2021 06:26:08 PM,Saturday,Handgun,MELVILLE ST SE & DIVISION AV,October
21-061793,3590,E8,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Sell,10/09/2021 06:26:08 PM,Saturday,None,MELVILLE ST SE & DIVISION AV,October
21-061793,3560,E8,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Marijuana - Sell,10/09/2021 06:26:08 PM,Saturday,None,MELVILLE ST SE & DIVISION AV,October
21-061793,5299,E8,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),10/09/2021 06:26:08 PM,Saturday,Handgun,MELVILLE ST SE & DIVISION AV,October
21-061878,5213,E5,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/10/2021 03:36:00 AM,Sunday,Handgun,900 BLOCK 33RD ST SE,October
21-061899,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/10/2021 06:31:46 AM,Sunday,Firearm (type unknown),600 BLOCK JEFFERSON AV SE,October
21-061924,5295,W3,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),10/10/2021 10:06:42 AM,Sunday,Handgun,9TH ST NW & TAMARACK AV NW,October
21-061924,3564,W3,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Marijuana (Other),10/10/2021 10:06:42 AM,Sunday,None,9TH ST NW & TAMARACK AV NW,October
21-062009,5213,E5,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",10/10/2021 07:39:50 PM,Sunday,Firearm (type unknown),3800 BLOCK GIDDINGS AV SE,October
21-062069,5202,W6,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),10/10/2021 11:35:29 PM,Sunday,Handgun,0 BLOCK SEWARD AV NW,October
21-062074,3592,E8,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Crack - Possess,10/11/2021 12:45:00 AM,Monday,None,0 BLOCK CUTLER ST SW,October
21-062074,3547,E8,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,10/11/2021 12:45:00 AM,Monday,None,0 BLOCK CUTLER ST SW,October
