,Label (Grouping),Total,Total Margin of Error,Male,Male Margin of Error,Female,Female Margin of Error,Year,rank
93,"$15,000 to $24,999",17.4,1.1,15.5,1.5,19.6,1.5,2013,3
94,"$25,000 to $34,999",20.9,1.2,20.5,1.7,21.5,1.9,2013,4
95,"$35,000 to $49,999",24.5,1.2,23.3,1.6,25.9,1.9,2013,5
96,"$50,000 to $64,999",13.7,1.0,14.4,1.3,12.7,1.6,2013,6
97,"$65,000 to $74,999",4.9,0.6,5.9,0.9,3.7,0.7,2013,7
98,"$75,000 to $99,999",5.7,0.6,6.3,0.8,5.1,0.9,2013,8
99,"$100,000 or more",4.9,0.7,6.3,1.0,3.1,0.7,2013,9
100,"Full-time, year-round workers with earnings",52632.0,124.0,29260.0,88.9,23372.0,87.4,2012,0
101,"$1 to $9,999 or loss",3.2,0.6,3.2,0.8,3.2,0.8,2012,1
102,"$10,000 to $14,999",5.1,0.6,4.8,0.7,5.5,1.0,2012,2
103,"$15,000 to $24,999",17.4,1.1,16.0,1.5,19.0,1.8,2012,3
104,"$25,000 to $34,999",21.2,1.1,20.0,1.7,22.6,1.8,2012,4
105,"$35,000 to $49,999",24.1,1.3,22.8,1.7,25.8,2.2,2012,5
106,"$50,000 to $64,999",14.1,1.1,14.8,1.5,13.2,1.6,2012,6
107,"$65,000 to $74,999",5.1,0.7,6.0,0.9,3.9,0.9,2012,7
108,"$75,000 to $99,999",5.1,0.7,6.1,1.0,3.9,0.8,2012,8
109,"$100,000 or more",4.7,0.6,6.3,1.1,2.8,0.7,2012,9
110,"Full-time, year-round workers with earnings",52511.0,137.0,29190.0,88.4,23321.0,82.9,2011,0
111,"$1 to $9,999 or loss",3.5,0.6,3.0,0.7,4.1,0.9,2011,1
112,"$10,000 to $14,999",5.2,0.7,5.2,0.9,5.2,0.9,2011,2
113,"$15,000 to $24,999",17.7,1.2,16.5,1.6,19.2,1.6,2011,3
114,"$25,000 to $34,999",20.5,1.1,19.2,1.6,22.0,2.0,2011,4
115,"$35,000 to $49,999",24.3,1.0,23.1,1.7,25.7,1.8,2011,5
116,"$50,000 to $64,999",13.7,1.0,14.5,1.3,12.8,1.6,2011,6
117,"$65,000 to $74,999",4.9,0.7,5.9,1.0,3.7,0.7,2011,7
118,"$75,000 to $99,999",5.8,0.6,6.6,0.9,4.8,0.9,2011,8
119,"$100,000 or more",4.5,0.6,6.0,0.9,2.6,0.6,2011,9
120,"Full-time, year-round workers with earnings",52821.0,129.0,29364.0,98.2,23457.0,79.3,2010,0
121,"$1 to $9,999 or loss",3.0,0.6,2.5,0.8,3.6,0.9,2010,1
122,"$10,000 to $14,999",5.4,0.9,4.9,1.0,6.0,1.2,2010,2
123,"$15,000 to $24,999",18.1,1.2,17.0,1.6,19.5,1.6,2010,3
124,"$25,000 to $34,999",22.5,1.4,21.0,1.7,24.4,2.2,2010,4
125,"$35,000 to $49,999",23.5,1.2,22.3,1.5,25.1,2.2,2010,5
126,"$50,000 to $64,999",13.6,1.0,15.2,1.5,11.7,1.5,2010,6
127,"$65,000 to $74,999",4.5,0.5,5.2,0.8,3.6,0.6,2010,7
128,"$75,000 to $99,999",5.1,0.6,5.9,0.9,4.1,0.9,2010,8
129,"$100,000 or more",4.2,0.5,6.0,0.8,1.9,0.6,2010,9
