,Label (Grouping),Total,Total Margin of Error,Male,Male Margin of Error,Female,Female Margin of Error,Year
118,"$75,000 to $99,999",5.8,6.0,6.6,9.0,4.8,9.0,2011
119,"$100,000 or more",4.5,6.0,6.0,9.0,2.6,6.0,2011
120,"Full-time, year-round workers with earnings",52821.0,1290.0,29364.0,982.0,23457.0,793.0,2010
121,"$1 to $9,999 or loss",3.0,6.0,2.5,8.0,3.6,9.0,2010
122,"$10,000 to $14,999",5.4,9.0,4.9,10.0,6.0,12.0,2010
123,"$15,000 to $24,999",18.1,12.0,17.0,16.0,19.5,16.0,2010
124,"$25,000 to $34,999",22.5,14.0,21.0,17.0,24.4,22.0,2010
125,"$35,000 to $49,999",23.5,12.0,22.3,15.0,25.1,22.0,2010
126,"$50,000 to $64,999",13.6,10.0,15.2,15.0,11.7,15.0,2010
127,"$65,000 to $74,999",4.5,5.0,5.2,8.0,3.6,6.0,2010
128,"$75,000 to $99,999",5.1,6.0,5.9,9.0,4.1,9.0,2010
129,"$100,000 or more",4.2,5.0,6.0,8.0,1.9,6.0,2010
