Geo,Group,Date,Year,Population,Tested,Pct_Tested,EBLL,Pct_EBLL,CEBLL,Pct_CEBLL,VEBLL,Pct_VEBLL,Ven_5_9,Pct_Ven_5_9,Ven_10_14,Pct_Ven_10_14,Ven_15_19,Pct_Ven_15_19,Ven_20_39,Pct_Ven_20_39,Ven_GTE_40,Pct_Ven_GTE_40
48006,Children 1-2,2020,2020,,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2010,2010,,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2011,2011,262,23,0.088,,,,,,,,,0,0,0,0,0,0,0,0
48006,Children < 6,2012,2012,243,38,0.156,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2013,2013,225,32,0.142,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2014,2014,183,44,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2015,2015,179,43,0.24,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2016,2016,197,37,0.188,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2017,2017,201,41,0.204,,,,,,,,,0,0,0,0,0,0,0,0
48006,Children < 6,2018,2018,201,31,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2019,2019,231,43,0.186,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48006,Children < 6,2020,2020,,26,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48007,Children 1-2,2010,2010,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48007,Children 1-2,2017,2017,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48007,Children 1-2,2020,2020,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48007,Children < 6,2010,2010,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48007,Children < 6,2017,2017,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48007,Children < 6,2019,2019,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48007,Children < 6,2020,2020,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2010,2010,,193,,,,0,0,,,,,0,0,0,0,0,0,0,0
48009,Children 1-2,2011,2011,,199,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2012,2012,,175,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2013,2013,,142,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2014,2014,,165,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2015,2015,,216,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2016,2016,,224,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2017,2017,,203,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2018,2018,,225,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2019,2019,,210,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children 1-2,2020,2020,,129,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2010,2010,,237,,,,0,0,,,,,0,0,0,0,0,0,0,0
48009,Children < 6,2011,2011,1752,236,0.135,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2012,2012,1677,240,0.143,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2013,2013,1882,218,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2014,2014,1776,251,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2015,2015,1680,310,0.185,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2016,2016,1563,352,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2017,2017,1714,337,0.197,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2018,2018,1714,371,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2019,2019,1716,346,0.202,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48009,Children < 6,2020,2020,,196,,,,0,0,,,,,0,0,0,0,0,0,0,0
48011,Children 1-2,2011,2011,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48011,Children < 6,2011,2011,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48011,Children < 6,2017,2017,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48012,Children 1-2,2010,2010,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48012,Children 1-2,2017,2017,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48012,Children 1-2,2019,2019,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48012,Children < 6,2010,2010,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48012,Children < 6,2012,2012,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48012,Children < 6,2017,2017,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48012,Children < 6,2019,2019,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48013,Children < 6,2017,2017,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2010,2010,,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2011,2011,,25,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2012,2012,,40,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2013,2013,,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2014,2014,,39,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2015,2015,,46,,,,,,,,,,0,0,0,0,0,0,0,0
48014,Children 1-2,2016,2016,,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2017,2017,,38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2018,2018,,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2019,2019,,45,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children 1-2,2020,2020,,21,,,,0,0,,,,,0,0,0,0,0,0,0,0
48014,Children < 6,2010,2010,,34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children < 6,2011,2011,379,46,0.121,,,,,,,,,0,0,0,0,0,0,0,0
48014,Children < 6,2012,2012,366,85,0.232,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children < 6,2013,2013,370,66,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children < 6,2014,2014,377,67,0.178,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children < 6,2015,2015,315,72,0.229,,,,,,,,,0,0,0,0,0,0,0,0
48014,Children < 6,2016,2016,206,58,0.282,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children < 6,2017,2017,188,57,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children < 6,2018,2018,188,69,0.367,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children < 6,2019,2019,168,69,0.411,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48014,Children < 6,2020,2020,,41,,,,,,,,,,0,0,0,0,0,0,0,0
48015,Children 1-2,2010,2010,,64,,,,0,0,,,,,0,0,0,0,0,0,0,0
48015,Children 1-2,2011,2011,,64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children 1-2,2012,2012,,64,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children 1-2,2013,2013,,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children 1-2,2014,2014,,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48015,Children 1-2,2015,2015,,81,,,,,,,,0,0,0,0,0,0,,,0,0
48015,Children 1-2,2016,2016,,77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
