,Year,Patient to Primary Care Physician Ratio,Patient to Dentist Ratio,Other Primary Care Providers,Geography,ID Geography,Slug Geography
288,2022,2556,2048,2766,"Allegan County, MI",05000US26005,allegan-county-mi
289,2022,2556,2048,1320,"Barry County, MI",05000US26015,barry-county-mi
290,2022,2556,2048,1403,"Ionia County, MI",05000US26067,ionia-county-mi
291,2022,2556,2048,467,"Kent County, MI",05000US26081,kent-county-mi
292,2022,2556,2048,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
293,2022,2556,2048,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
294,2022,2556,2048,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
295,2022,2556,2048,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
296,2022,2556,1474,2766,"Allegan County, MI",05000US26005,allegan-county-mi
297,2022,2556,1474,1320,"Barry County, MI",05000US26015,barry-county-mi
298,2022,2556,1474,1403,"Ionia County, MI",05000US26067,ionia-county-mi
299,2022,2556,1474,467,"Kent County, MI",05000US26081,kent-county-mi
300,2022,2556,1474,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
301,2022,2556,1474,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
302,2022,2556,1474,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
303,2022,2556,1474,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
304,2022,2556,1645,2766,"Allegan County, MI",05000US26005,allegan-county-mi
305,2022,2556,1645,1320,"Barry County, MI",05000US26015,barry-county-mi
306,2022,2556,1645,1403,"Ionia County, MI",05000US26067,ionia-county-mi
307,2022,2556,1645,467,"Kent County, MI",05000US26081,kent-county-mi
308,2022,2556,1645,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
309,2022,2556,1645,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
310,2022,2556,1645,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
311,2022,2556,1645,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
312,2022,2556,1646,2766,"Allegan County, MI",05000US26005,allegan-county-mi
313,2022,2556,1646,1320,"Barry County, MI",05000US26015,barry-county-mi
314,2022,2556,1646,1403,"Ionia County, MI",05000US26067,ionia-county-mi
315,2022,2556,1646,467,"Kent County, MI",05000US26081,kent-county-mi
316,2022,2556,1646,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
317,2022,2556,1646,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
318,2022,2556,1646,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
319,2022,2556,1646,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
320,2022,1702,2973,2766,"Allegan County, MI",05000US26005,allegan-county-mi
321,2022,1702,2973,1320,"Barry County, MI",05000US26015,barry-county-mi
322,2022,1702,2973,1403,"Ionia County, MI",05000US26067,ionia-county-mi
323,2022,1702,2973,467,"Kent County, MI",05000US26081,kent-county-mi
324,2022,1702,2973,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
325,2022,1702,2973,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
326,2022,1702,2973,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
327,2022,1702,2973,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
328,2022,1702,3651,2766,"Allegan County, MI",05000US26005,allegan-county-mi
329,2022,1702,3651,1320,"Barry County, MI",05000US26015,barry-county-mi
330,2022,1702,3651,1403,"Ionia County, MI",05000US26067,ionia-county-mi
331,2022,1702,3651,467,"Kent County, MI",05000US26081,kent-county-mi
332,2022,1702,3651,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
333,2022,1702,3651,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
334,2022,1702,3651,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
335,2022,1702,3651,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
336,2022,1702,2391,2766,"Allegan County, MI",05000US26005,allegan-county-mi
337,2022,1702,2391,1320,"Barry County, MI",05000US26015,barry-county-mi
338,2022,1702,2391,1403,"Ionia County, MI",05000US26067,ionia-county-mi
339,2022,1702,2391,467,"Kent County, MI",05000US26081,kent-county-mi
340,2022,1702,2391,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
341,2022,1702,2391,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
342,2022,1702,2391,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
343,2022,1702,2391,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
344,2022,1702,1339,2766,"Allegan County, MI",05000US26005,allegan-county-mi
345,2022,1702,1339,1320,"Barry County, MI",05000US26015,barry-county-mi
346,2022,1702,1339,1403,"Ionia County, MI",05000US26067,ionia-county-mi
347,2022,1702,1339,467,"Kent County, MI",05000US26081,kent-county-mi
348,2022,1702,1339,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
349,2022,1702,1339,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
350,2022,1702,1339,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
351,2022,1702,1339,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
352,2022,1702,2048,2766,"Allegan County, MI",05000US26005,allegan-county-mi
